지역명,매장명,주소,도로명,전화번호,영업시간,서비스,위도,경도
서울,강남 2호점,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107 메디타워2층,02-6205-6400,08:00~24:008/14~8/19 임시휴업,"맥딜리버리, 맥모닝, 디카페인 커피",37.4986859,127.0287553
서울,미아역,서울 강북구 미아동 197-5,서울 강북구 도봉로 204 미아역 맥도날드,02-6221-6300,07:00~02:00,"맥딜리버리, 맥모닝, 디카페인 커피",37.626944,127.026192
서울,마리오 아울렛,서울 금천구 가산동 60-22,서울 금천구 디지털로 185 마리오아울렛1,02-6166-6600,09:00~22:00,"맥모닝, 주차, 디카페인 커피",37.4779193,126.8872055
서울,등촌 DT,서울 강서구 등촌동 630,서울 강서구 양천로 546,02-6091-6800,24시간,"24시간, 맥드라이브, 맥딜리버리, 맥모닝, 주차, 디카페인 커피",37.5582134,126.8597362
서울,잠실역,서울 송파구 신천동 7-25,서울 송파구 송파대로 558,02-6435-6400,06:00~24:00,"맥딜리버리, 맥모닝, 디카페인 커피",37.5150646,127.0996860
서울,성균관대,서울 종로구 명륜2가 197-1,서울 종로구 창경궁로 241-1,02-6415-8500,08:00~24:00,"맥딜리버리, 맥모닝, 디카페인 커피",37.5834143,126.9988817
서울,석촌역,서울 송파구 송파동 84,서울 송파구 백제고분로 390,02-6415-6200,24시간,"24시간, 맥딜리버리, 맥모닝, 디카페인 커피",37.5059873,127.1091036
서울,서울교대점,서울 서초구 서초동 1674-5,서울 서초구 서초대로 316(서초동),"02-6242-6400, 070-7017-6989",10:00~22:30,"맥딜리버리, 맥모닝, 주차, 디카페인 커피",37.4939517,127.0161834
서울,양평SK DT,서울 영등포구 양평동3가 80-2,서울 영등포구 선유로 195,02-6748-6500,24시간,"24시간, 맥드라이브, 맥딜리버리, 맥모닝, 주차, 디카페인 커피",37.5309805,126.893343
서울,신월남부 DT점,서울 양천구 신월동 525-1,서울 양천구 남부순환로 553 (신월동),"070-7017-6917, 070-7017-6772",07:00~22:00,"맥드라이브, 맥딜리버리, 맥모닝, 주차",37.5197288,126.8387402
서울,연세대점,서울 서대문구 창천동 33-12,서울 서대문구 연세로 33,02-6010-5800,24시간,"24시간, 맥딜리버리, 맥모닝, 디카페인 커피",37.5585515,126.9367086
서울,삼성역,서울 강남구 삼성동 158-15,서울 강남구 삼성로92길 29 도일빌딩 1층,02-6203-4600,07:00~24:00,"맥딜리버리, 맥모닝, 디카페인 커피",37.5082794,127.0587636
서울,합정메세나폴리스,서울 마포구 서교동 490,서울 마포구 양화로 45 메세나폴리스 2층 맥도날드,02-6010-4500,"일~목 07:00~24:00, 금~토 7:00~01:00","맥딜리버리, 맥모닝, 디카페인 커피",37.5507165,126.9134947
서울,여의도,서울 영등포구 여의도동 23,서울 영등포구 국제금융로 10 L3층,02-6671-6500,07:00~22:00,"맥모닝, 주차, 디카페인 커피",37.525103,126.92577838897705
서울,강남구청,서울 강남구 논현동 242-29,서울 강남구 선릉로 667,02-6204-6400,24시간,"24시간, 맥딜리버리, 맥모닝, 디카페인 커피",37.5162358,127.0413134
서울,어린이대공원점,서울 광진구 화양동 212,서울 광진구 광나루로 392,02-6212-6500,09:00~02:00,디카페인 커피,37.5472224,127.0730854
서울,명동 2호점,서울 중구 회현동3가 1-5,서울 중구 퇴계로 116-1 (회현동 3가),"070-7017-1449, 070-7017-2449",07:30~21:30,"맥딜리버리, 맥모닝",37.5605158,126.9846104
서울,가산디지털,서울 금천구 가산동 50-3,서울 금천구 벚꽃로 298 대륭포스트타워 6차,02-6332-6500,08:00~24:00,"맥딜리버리, 맥모닝, 디카페인 커피",37.4813244,126.8837789
서울,양재 SK DT,서울 서초구 양재동 81,서울 서초구 바우뫼로 178,02-6447-6500,24시간,"24시간, 맥드라이브, 맥딜리버리, 맥모닝, 디카페인 커피",37.478071,127.03961
서울,가산비지니스센터점,서울 금천구 가산동 371-6,서울 금천구 가산디지털1로 165 (가산동),02-6341-8300,07:00~22:00,"맥딜리버리, 맥모닝, 주차, 디카페인 커피",37.4801705,126.8811402
서울,이수점,서울 동작구 사당동 147-29,서울 동작구 사당로 300 (사당동),02-6743-6200,07:00~22:00,"맥딜리버리, 맥모닝, 주차",37.484658,126.980731
서울,신도림 디큐브,서울 구로구 신도림동 692,서울 구로구 경인로 662 디큐브시티 B2,02-6341-7800,07:00~22:00,"맥모닝, 디카페인 커피",37.5094279,126.8898029
서울,공덕점,서울 마포구 도화동 559,서울 마포구 마포대로 53 (도화동),02-6743-6300,07:00~22:00,"맥딜리버리, 맥모닝",37.5411571,126.9471352
