지역명,매장명,주소,전화번호,영업시간,서비스,위도,경도
서울,가락시장,서울시 송파구 중대로 109 대동빌딩 1층,02-6285-6110,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.4938191,127.1204900
서울,가산그레이트밸리,서울 금천구 디지털로9길 32,02-866-7119,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.4794816,126.8874869
서울,가산디지털단지,서울특별시 금천구 가산디지털1로 165 가산비지니스센터 102호,02-1544-1852,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4802191,126.8809806
서울,가양역,"서울특별시 강서구 양천로 470 1층 102(일부), 103,106호",02-2668-6777,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",0800,2200
서울,강남역,서울특별시 강남구 강남대로96길 12,02-557-4727,08:00 - 22:00,"아침메뉴, 그릴드랩",37.4997492,127.0280880
서울,강남역GT타워,"서울 서초구 서초대로 411 GT타워 동관 1층 1호,2호,3호",02-3478-1014,00:00 - 24:00,"24시간, APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",0000,2400
서울,강남우성,서울특별시 강남구 강남대로66길 6,02-553-5232,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.4916842,127.0314711
서울,강동성심병원,서울특별시 강동구 성안로 147 1층,02-476-1131,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5364278,127.1346145
서울,강변역,서울특별시 광진구 강변역로4길 10,02-446-0423,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5353487,127.0934210
서울,거여역,서울특별시 송파구 오금로 525,02-408-3031,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4930833,127.1471218
서울,건대입구,서울특별시 광진구 아차산로 241 연한빌딩 102호,02-499-9292,08:00 - 00:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5405171,127.0701725
서울,경복궁,서울특별시 종로구 사직로 115,02-725-5926,07:30 - 21:30,"APP-패스트썹, 아침메뉴, 단체주문, 시그니처랩",37.5762946,126.9714918
서울,경희대,서울특별시 동대문구 경희대로 5-1,02-957-1589,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5921536,127.0521914
서울,고덕역,서울특별시 강동구 동남로 75길 13-10,02-427-0217,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5539195,127.1550552
